id,date,text,rat
euge****,22.09.16.,"새부리 KF94 마스크를 검색하니 네이버 랭킹 상위에 뜨고 가격도 착해서 호기심에 주문해봤어요
특히 핑크베이지 색상이 예뻐보여서요
무난하게 맨날 화이트 블랙만 사보고 핑크 계열은 안사봐서 궁금하기도 하고 무엇보다 가격이 메리트가 커서 ㅋㅋ
장바구니에 담을 때 분명 9,900원이었는데 결제하려고 보니까 12,900원 뜨더라구요? 그래서 주문 못하고 있다가 하루에도 라이브를 몇 번 씩 하시고 그 타이밍에 주문하면 9,900원이라 운좋게 아침 8시반 라방하기 전 8시에 주문 성공해서 당일 출고해서 담날 바로 받았어요
봄 여름 핑크가 아니라 딱 가을 겨울 톤다운 핑크예요~
살구핑크베이지랄까? 차분한 톤이라 오히려 맘에 드네요
다른 후기처럼 중형인데 일반 대형 사이즈라길래 중형으로 주문했더니 역시나 넉넉하게 잘 맞아요
남편이 써도 잘 맞더라구요
웬만한 보통 얼굴 크기 남성이라면 중형도 OK일듯!
가로폭이 커서 얼굴 전체를 잘 감싸주고 세로는 약간 짧은듯한데 그렇다고 부족하진 않아요
사진에 미밋 대형, 아이랑 어른용과 비교 사이즈 남겼으니 참고 부탁드려요
일단 25매 벌크 포장 뜯었을 때는 딱히 불량이 안보이고 괜찮은데 제발 한달 사용 후기로 평범 1점 주는 일이 없기를 바래야겠어요
암튼 가성비 마스크로 추천!",평점5
gemm****,22.05.03.,"컬러 KF94 마스크를 너무나도 기다렸어요
예쁜 컬러에 벌크포장과 저렴하면서 퀄리티 있는걸 내심 원했는데 제가 생각했던거와 100%일치🤭
동호님 런칭 방송때 신상 스포하는줄 알았다가 배너뜬거 보고 묻지도 따지지도 않고 오픈런 구매했어요🤗
포장 따위가 이렇게 예쁠일인가요🥹
에코브리즈 무광도 예뻤는데 유광도 반짝반짝✨넘 예뻐요
50매 구성 나중에 만들어주셔서 좀 아쉽…라이트실버와 50매로 구매했으면 좋았을껄~하지만 핑베 너무 예쁘니까 아끼지 않고 많이많이 쓸꺼에요😍
색상이 어쩜 이렇게 여리여리한가요 요거 쓰면 괜시리 수줍어지는 러블리한 마스크에요🍑
두께감은 에코프로와 거의 흡사해요 스타일핏 클래식 S/S가 워낙에 얇아서 디럭스가 두껍게 느껴질 수 있겠지만 4중구조임에도 얇은 편이에요 마스크 펼친 사진 보시면 얇은거 체감하실 수 있으실꺼에요
숨쉬기도 편하고 귀끈 편한거야 두말하면 잔소리!
안감 스펀본드인데 저는 에코프로도 만족하며 잘쓰고 있어서 이런 부드럽고 폭닥폭닥한 부직포 느낌도 너무너무 좋아요
사이즈는 제가 모든 중형이 커서 여유롭게 맞아요 저는 참고로 귀끈 묶거나 이어클립 사용합니다
얼굴살이 없어서 옆부분이 뜨긴하는데 턱라인 핏이 예뻐요
그리고 측면으로 귀바로 옆까지 감싸줘서 좋아요
주현님이 말씀해주신대로 압착이 잘되어 있어서 처음에 마스크 확 펼치면 안되요 귀끈 잡지 말고 귀끈 옆 마스크를 잡고 열어야 해요 안그럼 귀끈 떨어질 수 있어요
라이트 실버도 오픈런 구매했는데 너무 기대됩니다
푸름웰니스 항상 믿고 사용합니다 앞으로도 좋은 상품들 많이많이 출시해 주세요 텅장이 될지언정❤️
- 푸둥이 젬마 -",평점5
gemm****,22.05.06.,"컬러 KF94 마스크를 너무나도 기다렸어요
세상 어디에도 없는 라이트실버 H워월V
색상 너무 예뻐요🤍 은단 은갈치 아니고 페라리 모데나 컬러😍
진짜 색상이 신비스럽고 오묘해요
예쁜 컬러에 벌크포장과 저렴하면서 퀄리티 있는걸 내심 원했는데 제가 생각했던거와 100%일치🤭
묻지도 따지지도 않고 오픈런 구매했어요🤗
포장 따위가 이렇게 예쁠일인가요🥹
에코브리즈 무광도 예뻤는데 유광도 반짝반짝✨넘 예뻐요
두께감은 에코프로와 거의 흡사해요 스타일핏 클래식 S/S가 워낙에 얇아서 디럭스가 두껍게 느껴질 수 있겠지만 4중구조임에도 얇은 편이에요 마스크 펼친 사진 보시면 얇은거 체감하실 수 있으실꺼에요
숨쉬기도 편하고 귀끈 편한거야 두말하면 잔소리!
안감 스펀본드인데 저는 에코프로도 만족하며 잘쓰고 있어서 이런 부드럽고 폭닥폭닥한 부직포 느낌도 너무너무 좋아요
사이즈는 제가 모든 중형이 커서 여유롭게 맞아요 저는 참고로 귀끈 묶거나 이어클립 사용합니다
얼굴살이 없어서 옆부분이 뜨긴하는데 턱라인 핏이 예뻐요
그리고 측면으로 귀바로 옆까지 감싸줘서 좋아요
주현님이 말씀해주신대로 압착이 잘되어 있어서 처음에 마스크 확 펼치면 안되요 귀끈 잡지 말고 귀끈 옆 마스크를 잡고 열어야 해요 안그럼 귀끈 떨어질 수 있어요
실내 마스크 오픈되어도 비움 마스크 예뻐서 쓸꺼에요🤗
푸름웰니스 항상 믿고 사용합니다 앞으로도 좋은 상품들 많이많이 출시해 주세요 텅장이 될지언정❤️
- 푸둥이 젬마 -",평점5
jina****,22.07.22.,"라이브 보고 방송하는언니 쓴거 넘 예뻐서 100개 주문했는데 가로사이즈가 저한테 좀 커요ㅠㅠ
두번째 사진은 볼부분을 밀착시키기위해 코와이어를 접어봤어용ㅋㅋ
블로그나 리뷰,길거리를 다녀도 저렇게 쓰는사람 굉장히 많더라구요ㅠㅠ
잘못된 마스크 쓰는법이에요
코 접히는 부분은 최대한 콧등에 붙혀서 쓰세요ㅠㅠ
저렇게 쓰면 마스크가 뭔 소용인가용?
콧등에 붙히고 볼부분이 밀착이 안되면 마스크가 큰거라고 생각합니당
아무튼 중형인데도 커서 넘 아쉽지만....ㅠ
끈을 묶어쓰면 괜찮아서 귀찮지만 묶어서 써야겠네용
색상이나 촉감은 넘 좋아요
얼굴 닿는 안감도 부들부들~~
공장냄새(?)도 안나고 마스크 자체 디자인도 넘 예뻐요!!!
지금 이 중형보다 조금 작은 사이즈가 나왔으면 하는 바램...!!!",평점5
pim4****,22.10.21.,"고민고민하다 디럭스 실버를 주문했는데
진짜 이쁩니다. 과하지 않지만 평범하지도 않아 좋아요. 어두운 옷, 밝은 옷에도 쓰기 좋네요. 큰 얼굴이지만 디럭스 사이즈는 여유있게 편하고 씁니다. 꽉 끼는 불편함이 없어서 맘에 들어요.
지인한테 써보라고 자신있게 1봉 나눔했어요~^^
구매평 중 많았던 연결부위 끈 떨어짐 현상은 아직 없었어서 좋아라 했는데,
몇일전 아침에 쓸려고 보니 끈 한쪽의 반이 잘려 나간 듯이 짧았어요. 살펴보니 다행이 하나만 그러네요.
불량이 하필 실버 색상에서 나와서 그게 아쉬워요. 다른 색상 마스크 였다면 좋았을 텐데ㅠㅠ
유색마스크는 좀 비싸던데, 가격대비 제품이 좋아서 만족도가 좋았어요.
그래도 다음에는 불량체크 잘 된 제품으로 꼭받고 싶어요.
흰색, 검정색 지겹고, 과한 색상은 부담이신분들께 조심스럽게 실버마스크 추천합니다.",평점5
pupo****,22.05.23.,"평소 쓰는 아에르 중형과 비교했을 때 비슷한 편인데 착용감응 비움이 훨씬 넉넉 합니다. 귀끈이 더 긴 거 같네요. 피부와 닿는 부분이 부들부들해서 좋구요. 색상도 예쁩니다. 사실 이런 화사한 색이 너무 튀는 거 같아 잘 안쓰는데 궁금해서 사봤거든요. 부담없이 쓸 수 있을 거 같네요. 후기를 꼼꼼하게 보고 샀어요. 실패했던 마스크들이 꽤 있었거든요. 근데 이 가격에 이 퀄리티면 아주 훌륭한 것 같습니다. 딱 한가지 단점이라면 어떤분의 후기에서 공감한건데 좀 얇고 크다보니 새부리형의 모양을 탄탄하게 잡아주지 못하고 약간 흐물흐물한 느낌입니다. 근데 불편하거나 그렇진 않은 거 같네요. 같은 라인으로 베이지도 나오면 좋알
을 거 같습니다. 재구매 의사 있구요. 아 얼굴 크신 분들도 중형 잘 맞으실거에요. 제가 잘 맞는 거 보면.",평점5
dbkm****,22.10.09.,"초등5학년 딸 여유있게 맞아요~
초등1학년 아들 넉넉해요(사진)

(개인의차이)
지금까지 써온 키즈용 마스크대비 코 지지대가 힘이 있는편이예요. 마스크를 쓴채로 코지지대를 눌렀을때는 촥 올라붙어있지않고 살짝식 내려오네요
마스크를 쓰기전에 손으로 살짝 꺾어서 쓰면 더 고정이 잘 되는거같아요(3번째사진 참고)
가격좋고 보풀안일어나고 사이즈가 넉넉해서 얼굴 감싸주는것도 마음에 듭니다
줄이 길어 묶어주려다가 끈이 툭 떨어지기도 해요 연결부위를 잘 잡고 끈을 묶어야 안떨어집니다 참고하세용~

어른용 써보고 좋아서 키즈용도 사봤는데 가격품질 다 좋습니다~ 만족~~",평점5
susi****,22.10.11.,"빠른배송으로 상품이상없이 잘 받았구요.. 상자 열자마자 한봉에 25개씩 벌크형으로 열고 닫을수있는 형식의 겉포장 4개가 들쑥날쑥 들어있어서 순간!’ 너무 저렴했나? KF94에 컬러 마스크가 100장에 이 금액이라니…’ 라는 생각에 약간 실망했으나! 두봉을 개봉해봤는데 깔끔한 상자안에 깔끔한 비닐포장상태로 다행히 구겨진 마스크 없이 깔끔하게 가지런히 들어있더라구요^^ 세상에!!!!! 이거 완전 득템👍🏻 컬러감도 파스텔톤 살구색(과하게 밝지않은 적당한 예쁜컬러❤️), 이어밴드(귀걸이) 상당히 보들보들, 편한 착용감, kf 94임에도 숨쉬기 불편하지 않음등 장점 투성이^^ 안쪽 피부에 닿는 부분도 간지럽지 않은 깔끔하고 부드러운 마감입니다. 다만 봉지 겉면 제조사와 의약외품은 엄마께 드리고 오느라 제대로 확인하지 못했는데 추후 다시 확인해서 올려 볼께요! 꾸준히 사용중이었던 아** 라이트핏 M사이즈와 거의 비슷하구요 이어밴드는 더 편한느낌! 국내생산, 국산자재… 완전 칭찬합니다! 감사합니다!보통사이즈 여성분들, 얼굴 세로로 길지 않으신 남자분들 강추합니다(세로가 착용시 짧으면 불편하더라구요)",평점5
chpn****,22.05.04.,"결론부터 말씀드리면 색도 예쁘고 제품 기대이상이네요!!(은단색XXX)

제품 잘 받았고 보자마자 느낌건 정말 색이 예쁩니다. 일단 마스크에서 이전에 한번도 본적이 없는 컬러입니다. 색감을 너무 잘 뽑은거같아요.

라이브 방송때는 조명이 있어서 그런지 스크린으로 보는거보다 살짝 진하고 은은한 감이 있는거 같네요.

사이즈의 경우 브리즈 대형하고 세로길이는 비슷한데 가로길이는 짧습니다. 그리고 두께도 그렇고 디럭스 안감은 에코프로하고 제일 비슷한거 같네요. 부드럽고 스펀본드 부직포 소재입니다.

귀끈은 이전 스타일핏 클래식보다는 살짝 얇고, 에코프로/브리즈와 비교하면 두꺼운편입니다. 에코프로도 정말 편하게 썼으니 이정도 두꺼워도 전혀 차이 못느낄것 같더라구요.

아 그리고 마스크 좌우가 꽤 강하게 붙어있어서 귀끈으로 열기보다 몸체 잡고 열어주시는거 추천합니다.

앞으로 추가 색상도 있던데 실제로 어떤 색일지 궁금하네요~ 앞으로도 자주 색다른 제품 기대할게요 ㅎ",평점5
hana****,22.08.02.,"비움 디럭스 마스크를 알게 된 이후로 살까말까 고민 많이했어요 벌크에 대한 부담감은 덜한데 가격이 끌리는게 첫번째 이유이고 두번째는 kf94인데 2단 새부리형이라는점 세번째는 여러색상이 있는 마스크라는점 비교적 얇아서 여름에도 쓸수 있다는점이 매력있게 다가왔어요 지금 먼저산 마스크들이 있어서 다쓰고 구매해볼까 했는데 흰색마스크라서 칼국수끈으로 된 색상마스크를 구매해서 써보려고 했네요 여러브랜드 마스크를 섭렵해보고 요새 뜨고있는 신상마스크 브랜드샵도 둘러보다가 오나미비움마스크 눈에 확들어왔어요 무엇보다 가격이 다른브랜드마스크는 개별포장이기에 가격차이 감안하더라도 현재는 5매입 1봉짜리 kf94 흰색2단마스크를 이벤트가로 장당 사백원대에 사서 쓰고있었기에 벌크라도 크리넥스 마스크는 kf80도 비싸서 그동안 수없이 많은마스크를 쓰면서 선호했던 A사 E사 등등 3단마스크는 더많고 많았는데 15시간 릴레이 라이브방송 하는거보고 결심해버렸어요
쇼호스트분들 말이 전부 다 맞진 않겠지만 이정도 열정으로 판다면 함 믿어보고 사서써보자 근 한두달 동안 틈틈히 리뷰리서치해보고 방송도 잠깐씩 들어보고 했는데 생각보다 불량도 많아보이고 (끈불량, 이음새, 코편불량, 각인불량 색상 얼룩짐등등)출고과정에서 발송 누락등 배송 실수도 많아보여서 구입결정하기 어렵긴하더라구요 무엇보다 네이버의 한달사용후기 주의깊게 보고 참고하는편인데 구매시 후기는 호의적이다가 별다섯개에 칭찬후기 한달 지난후 사용후기가 확 달라져서 별한개에 불량에 관한 후기들이 주루룩 착용감등등에 대한부분들 그래도 가장 최근 후기들이 많은부분을 개선해간듯한 느낌이기도 했고 비움마스크만 착용한다는 후기등도 많았기에 함써보자했어요 아이보리 중형이 품절이기에 대형으로 구매했는데 더좋네요 크면 위생장갑끼고 일일이 벌리고 검수하더라도 아버지쓰시라해야지 했는데 전 대형이 나았어요
비움마스크 후기는 얼작이들이 넘 많네요
분명 타사 비슷한 2단마스크 브랜드 스탠다드 형 중형 쓰구 라운드형 중형쓰고 대형은 꽤나 커서 쓸수없었음 매우커서 흘러내린다는 비움디럭스 마스크는 대형이 편하게 느껴져요",평점5
